Address,Mnemonic,Opcode,T-Step,CF,ZF,CO,RO,IO,AO,BO,EO,MI,II,AI,BI,RI,DI,FI,CE,JMP,END
*,*,*,T0,*,*,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
*,*,*,T1,*,*,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0x0,NOP,0000,T2,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0x1,LDA addr,0001,T2,*,*,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0x1,LDA addr,0001,T3,*,*,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0x1,LDA addr,0001,T4,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0x2,LDB addr,0010,T2,*,*,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0x2,LDB addr,0010,T3,*,*,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0x2,LDB addr,0010,T4,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0x3,STA addr,0011,T2,*,*,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0x3,STA addr,0011,T3,*,*,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0x3,STA addr,0011,T4,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0x4,ADD addr,0100,T2,*,*,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0x4,ADD addr,0100,T3,*,*,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0x4,ADD addr,0100,T4,*,*,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0x4,ADD addr,0100,T5,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0x5,ADI imm,0101,T2,*,*,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0x5,ADI imm,0101,T3,*,*,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0x5,ADI imm,0101,T4,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0x6,JMP addr,0110,T2,*,*,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0x6,JMP addr,0110,T3,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0x7,JMPV vec,0111,T2,*,*,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0x7,JMPV vec,0111,T3,*,*,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0x7,JMPV vec,0111,T4,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0x8,JC addr (CF=1),1000,T2,1,*,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0x8,JC addr (CF=1),1000,T3,1,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0x8,JC addr (CF=0),1000,T2,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0x9,JZ addr (ZF=1),1001,T2,*,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0x9,JZ addr (ZF=1),1001,T3,*,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0x9,JZ addr (ZF=0),1001,T2,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0xA,OUT,1010,T2,*,*,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0xA,OUT,1010,T3,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0xB,MOVA_B,1011,T2,*,*,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0xB,MOVA_B,1011,T3,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0xC,MOVB_A,1100,T2,*,*,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0xC,MOVB_A,1100,T3,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0xD,LDI imm,1101,T2,*,*,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0xD,LDI imm,1101,T3,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0xE,SUB addr,1110,T2,*,*,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0xE,SUB addr,1110,T3,*,*,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0xE,SUB addr,1110,T4,*,*,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0xE,SUB addr,1110,T5,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0xF,HLT,1111,T2,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xF,HLT,1111,T3,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1